name,gender,age,job,province,point
ณัฐติญา สันตะวงศ์,เพศหญิง,20,ภัณฑารักษ์,จังหวัดอำนาจเจริญ,18098
โรสชา ศรทอง,เพศหญิง,31,ทหารบก,จังหวัดยะลา,5845
สมใจ ประจันตะเสน,เพศหญิง,36,นักสำรวจ,จังหวัดอุบลราชธานี,6091
คำมั่น ติระคมน์,เพศชาย,22,นักธุรกิจ,จังหวัดสุรินทร์,13969
ดวงสมร นุ่มกัน,เพศหญิง,35,นักสำรวจ,จังหวัดนครราชสีมา,3439
วัลลภ แหยมศิริ,เพศชาย,20,นักวิทยาศาสตร์,จังหวัดบุรีรัมย์,11106
อรุณี ดาตู,เพศหญิง,45,นักแต่งเพลง,จังหวัดลำพูน,20096
รอกีเย๊าะ ดาบเพ็ชร์,เพศหญิง,43,นักการทูต,จังหวัดมุกดาหาร,7165
เบญญาทิพย์ ฉิมพาลี,เพศหญิง,30,ผู้กำกับ,จังหวัดสมุทรสาคร,1259
ฐิตาพร ทรัพย์ธำรงค์,เพศหญิง,60,นายแบบ,จังหวัดกระบี่,20280
นิติยา ถนัดเดินข่าว,เพศหญิง,42,เจ้าหน้าที่รัฐบาล,จังหวัดเลย,14216
เขมจิรา ดิสกะประกาย,เพศหญิง,31,นักสิทธิมนุษยชน,จังหวัดแพร่,4809
นิมุ ตวงทอง,เพศชาย,44,นักจัดรายการวิทยุ,จังหวัดสุรินทร์,17025
ฐิติณัฐฐา ราชมณี,เพศหญิง,52,นักอนุรักษ์ธรรมชาติ,จังหวัดแม่ฮ่องสอน,10240
จริยฉัตร นฤภัย,เพศหญิง,26,นักสะสมศิลปะ,จังหวัดนครราชสีมา,22911
แกมแพร อุลหัสสา,เพศหญิง,38,เภสัชกร,จังหวัดราชบุรี,18337
นารดา ศรีตะวัน,เพศหญิง,47,นักการเมือง,จังหวัดปัตตานี,20981
ชรินทร์ทิพย์ ตะละภัฏ,เพศหญิง,27,ภัณฑารักษ์,จังหวัดนครราชสีมา,8616
โสภา โพธิสัตย์,เพศหญิง,25,นักเศรษฐศาสตร์,จังหวัดจันทบุรี,23352
เลิศเดช ถนัดภาษา,เพศชาย,41,นักโบราณคดี,จังหวัดภูเก็ต,18754
จีรยุทธ ศรีเผด็จ,เพศชาย,59,ข้าราชการ,จังหวัดกรุงเทพ,7333
รวิวาน อุลหัสสา,เพศหญิง,39,นักประชาสัมพันธ์,จังหวัดยะลา,24754
ณิชนันท์ ทวีเดช,เพศหญิง,22,ศิลปิน,จังหวัดหนองคาย,23378
ลักษมี เธียรายัน,เพศหญิง,54,เภสัชกร,จังหวัดยโสธร,17870
นพรัตน์ เนตร์มณี,เพศหญิง,60,นักวาดการ์ตูน,จังหวัดเชียงราย,20454
บุญเทียน จ้อยนุแสง,เพศหญิง,25,นักเศรษฐศาสตร์,จังหวัดจันทบุรี,16531
แปลง บุตราช,เพศชาย,59,นักการเมือง,จังหวัดชัยภูมิ,2899
ปุณณรัตน์ บุญส่ง,เพศชาย,43,ตำรวจ,จังหวัดสตูล,6268
ภารวี ทับทิมไทย,เพศหญิง,25,นักบินอวกาศ,จังหวัดกทม.,11324
ทับทิม นาฏคายี,เพศหญิง,45,นักบวช,จังหวัดกำแพงเพชร,13109
พิไลพร ศิวะวรเวท,เพศหญิง,26,นักการทูต,จังหวัดขอนแก่น,22456
ไชยภพ ชุมวระ,เพศชาย,27,ช่างทำเครื่องดนตรี,จังหวัดอำนาจเจริญ,25555
สุรนีย์ ถนอมกุลบุตร,เพศหญิง,54,ทนายความ,จังหวัดกรุงเทพฯ,24771
ศิริเกศ เพียยา,เพศหญิง,51,นักเคลื่อนไหว,จังหวัดอ่างทอง,20657
ประจิน ถนอมพลกรัง,เพศหญิง,35,นักโบราณคดี,จังหวัดสุรินทร์,6309
ศุภาศิล ทับทิมไทย,เพศชาย,44,นักวิทยาศาสตร์,จังหวัดสุราษฎร์ธานี,22802
นนทกาญจน์ จันทา,เพศชาย,60,นักสัตววิทยา,จังหวัดยะลา,17561
ชรินทร์ทิพย์ สงประเสริฐ,เพศหญิง,20,แพทย์,จังหวัดอุทัยธานี,9064
สิรวัฒน์ จันทา,เพศชาย,37,ช่างทำผม,จังหวัดสุโขทัย,11628
อาแอเสาะ ตวงทอง,เพศหญิง,53,เจ้าหน้าที่พัฒนาเอกชน,จังหวัดสุรินทร์,2253
อนิวัฒน์ นักสำหรวจ,เพศชาย,34,นักพจนานุกรม,จังหวัดร้อยเอ็ด,24193
อริสรา ดุริยพันธุ์,เพศหญิง,48,สถาปนิก,จังหวัดนนทบุรี,14705
ศิรินันท์ เจริญรัมย์,เพศหญิง,25,นักกฎหมาย,จังหวัดชัยนาท,17422
ราณี นาถะพินธุ,เพศหญิง,31,นักออกแบบ,จังหวัดขอนแก่น,17047
นิภา บุนยะศัพท์,เพศหญิง,51,นักดนตรี,จังหวัดสมุทรสงคราม,284
ราณี ธัญเสถียร,เพศหญิง,26,นักสะสมศิลปะ,จังหวัดอุบลราชธานี,12783
ประไพพักตร์ บุญญาภิรมย์,เพศหญิง,48,นักพากย์,จังหวัดนครพนม,24225
อริสรา นฤทุกข์,เพศหญิง,51,นักสัตววิทยา,จังหวัดระยอง,25587
เมทนี นฤภัย,เพศหญิง,57,มัคคุเทศก์,จังหวัดปทุมธานี,20270
อริสรา แท่นทอง,เพศหญิง,33,กวี,จังหวัดหนองบัวลำภู,21803
ราชัน นิลสลัว,เพศชาย,34,นักสิทธิมนุษยชน,จังหวัดปทุมธานี,9137
ปาริตา ตะละภัฏ,เพศหญิง,25,นักธุรกิจ,จังหวัดมุกดาหาร,13954
กิ่งแก้ว ดาวกระจาย,เพศหญิง,52,นักการเมือง,จังหวัดชลบุรี,2385
จิณภัทตา นักสำหรวจ,เพศหญิง,51,โฆษก,จังหวัดศรีสะเกษ,906
บุญญามี ทำประดู่,เพศชาย,48,นักการเมือง,จังหวัดตรัง,13458
ทิมาภรณ์ ถนอมพลกรัง,เพศหญิง,58,ศิลปิน,จังหวัดสมุทรสงคราม,13227
ชัชเวศย์ นครเทพ,เพศชาย,32,นักโบราณคดี,จังหวัดสระแก้ว,15396
ศรายุธ สาระพันธ์,เพศชาย,52,ทหารบก,จังหวัดกรุงเทพ,2916
อาซือมะ ธรรมสถิตไพศาล,เพศหญิง,35,นักสิทธิมนุษยชน,จังหวัดแม่ฮ่องสอน,5199
มาซีเตาะ เนตร์มณี,เพศหญิง,30,นักโบราณคดี,จังหวัดหนองบัวลำภู,25487
พันเกล้า ศรีเผด็จ,เพศหญิง,27,นักการกุศล,จังหวัดศรีสะเกษ,17683
ธีรวุฒิ นักรบ,เพศชาย,55,ศิลปิน,จังหวัดมุกดาหาร,22594
พรชนก หอมพิกุล,เพศหญิง,46,นักออกแบบ,จังหวัดกาญจนบุรี,1620
กิติวัฒน์ ดวงทับทิม,เพศชาย,38,วิศวกร,จังหวัดตาก,15963
พันธุ์เทพ ร่มธิติรัตน์,เพศชาย,55,ค้าขาย,จังหวัดนราธิวาส,14350
อันธิกา ดุริยพันธุ์,เพศหญิง,56,นักสังคมศาสตร์,จังหวัดปัตตานี,2819
ปิยะนันท์ วาทา,เพศชาย,56,ผู้กำกับภาพยนตร์,จังหวัดลพบุรี,1731
สิรวัฒน์ ทองลาภ,เพศชาย,51,นักบิน,จังหวัดฉะเชิงเทรา,23732
อิสรันดร์ ดาตู,เพศชาย,23,นักวิทยาศาสตร์,จังหวัดฉะเชิงเทรา,13319
คำปลิว สุวรรณหงษ์,เพศชาย,48,นักมายากล,จังหวัดสิงห์บุรี,15236
กษิดิฐ นิยมธรรม,เพศชาย,29,นักการทูต,จังหวัดกาฬสินธุ์,8707
ผกาทิพย์ ฉัตรอภิเที่ยงค่ำ,เพศหญิง,34,ช่างทำผม,จังหวัดลพบุรี,1841
ถนอมชัย คณานุรักษ์,เพศชาย,40,นักประชาสัมพันธ์,จังหวัดจันทบุรี,12765
เนตรฤดี ดาบเงิน,เพศหญิง,29,นักสังคมวิทยา,จังหวัดบึงกาฬ,9184
คำ ทศโยธิน,เพศหญิง,33,เภสัชกร,จังหวัดพังงา,15472
ประจิน นับเนื่องนอ,เพศหญิง,44,โปรแกรมเมอร์,จังหวัดสมุทรสาคร,9362
ชัชนันท์ ตวงทอง,เพศชาย,53,ผู้กำกับภาพยนตร์,จังหวัดศรีสะเกษ,2684
พิมพ์ประภา ถ้วนศรี,เพศหญิง,35,กวี,จังหวัดสุราษฎร์ธานี,7627
ซูฮัยดา ยะผา,เพศหญิง,26,นักสังคมวิทยา,จังหวัดอุตรดิตถ์,12149
เกษมชัย แน่นดุจป้อม,เพศชาย,37,ทนายความ,จังหวัดหนองบัวลำภู,21545
ราชพฤกษ์ นาคสุทิน,เพศชาย,41,นักการกุศล,จังหวัดยโสธร,11972
วิชา ด้วงโสน,เพศชาย,28,ผู้กำกับ,จังหวัดสตูล,3313
ทานตะวัน ทรัพย์สาร,เพศหญิง,29,นักสำรวจ,จังหวัดอุบลราชธานี,22772
เพ็ญยุภา ดาบเงิน,เพศหญิง,25,นักดนตรี,จังหวัดสุโขทัย,19232
กันตวรรณ นิลสลัว,เพศหญิง,48,นักโภชนาการ,จังหวัดจันทบุรี,9889
อินทรีย์ ถมปัด,เพศชาย,36,นักผจญภัย,จังหวัดลำพูน,18903
กันตวรรณ ตั้งรบ,เพศหญิง,60,บรรณาธิการ,จังหวัดสกลนคร,6912
วันชนก แจ้งสว่าง,เพศหญิง,46,จ๊อกกี้,จังหวัดอุดรธานี,10424
สโรชา ตัณฑนุช,เพศหญิง,40,นักสังคมศาสตร์,จังหวัดสงขลา,12547
ด.ญ.อุลัยพร นากกนก,เพศหญิง,41,นักสืบ,จังหวัดระยอง,2772
พันธุ์เทพ บินดี,เพศชาย,44,ช่างทำเครื่องดนตรี,จังหวัดพระนครศรีอยุธยา,8080
คณภรณ์ ปรีชากุลเศรษฐ์,เพศหญิง,59,นักสังคมวิทยา,จังหวัดสมุทรสงคราม,25727
เทอดศักดิ์ ขันธุลา,เพศชาย,49,ข้าราชการ,จังหวัดอำนาจเจริญ,7019
เพชรมณี นักรบ,เพศหญิง,50,ผู้กำกับละครโทรทัศน์,จังหวัดนครศรีธรรมราช,17397
สิริรัตน์ ไตรบรรพ,เพศชาย,52,นักจัดรายการวิทยุ,จังหวัดสุรินทร์,13155
พรชีวิน เดชวา,เพศหญิง,56,นักวิทยาศาสตร์,จังหวัดสมุทรปราการ,18287
ภานุวัตร ทีฆะ,เพศชาย,44,นักพากย์,จังหวัดชุมพร,11083
ธัญญกัญญา อัตตนาถ,เพศหญิง,35,จ๊อกกี้,จังหวัดชัยนาท,18607
มนัส แนวพนิช,เพศชาย,29,วิศวกร,จังหวัดระยอง,12017
แกมแพร ธัญเสถียร,เพศหญิง,33,นักวาดการ์ตูน,จังหวัดยโสธร,21879
สีหราช เนื้อนุ่ม,เพศชาย,26,นักเคลื่อนไหว,จังหวัดสมุทรปราการ,14935
สมหมาย นวลฉวี,เพศชาย,45,นักประดิษฐ์,จังหวัดอุตรดิตถ์,14905
ฉัตรปรียา ถิรสวัสดิ์,เพศหญิง,37,นักโภชนาการ,จังหวัดร้อยเอ็ด,17721
จณิตตา ดุริยพันธุ์,เพศหญิง,49,ผู้จัดพิมพ์,จังหวัดกรุงเทพฯ,14334
ตรีนุช นุ่มกัน,เพศหญิง,20,บรรณารักษ์,จังหวัดกระบี่,8038
อินทรีย์ เขียวอ่อน,เพศชาย,56,นักบิน,จังหวัดมุกดาหาร,16168
วรรณาต ขุนดำ,เพศหญิง,43,ภัณฑารักษ์,จังหวัดนครราชสีมา,478
เพชรมณี ถะเกิงชศ,เพศหญิง,32,นักสังคมวิทยา,จังหวัดอุทัยธานี,20999
พัชรีนิษฐ์ แถมธน,เพศหญิง,22,นักสังคมสงเคราะห์,จังหวัดพะเยา,16350
จิตตานันท์ เจริญรัมย์,เพศหญิง,53,พิธีกร,จังหวัดบึงกาฬ,16072
ไวพจน์ วิลาสินี,เพศชาย,57,นักดนตรี,จังหวัดพิจิตร,4022
อธิตยา ตั้งรบ,เพศหญิง,47,นักการกุศล,จังหวัดสมุทรสาคร,21422
พิมพ์ประภา ร่มธิติรัตน์,เพศหญิง,54,นักบิน,จังหวัดสุรินทร์,20281
ภัทรนาฎ บุนยาภิสนท์,เพศหญิง,48,วีเจ,จังหวัดสงขลา,2147
เฉลิมรัตน์ นาถะเดชะ,เพศชาย,33,ทหารบก,จังหวัดชัยภูมิ,25914
กิ่งแก้ว สังข์กรด,เพศหญิง,51,บรรณารักษ์,จังหวัดชัยภูมิ,987
ฐิติณัฐฐา ชำนาญวาด,เพศหญิง,38,บรรณาธิการ,จังหวัดระนอง,3163
ประภัทร์สรณ์ เธียรายัน,เพศหญิง,52,วิศวกร,จังหวัดอุตรดิตถ์,10601
นรีกานต์ ถมังรักษสัตว์,เพศหญิง,36,นักสังคมสงเคราะห์,จังหวัดตรัง,12306
มูฮำมัด ดัตพันธุ์,เพศชาย,57,กวี,จังหวัดพังงา,3099
อัญพัชร์ จันอ้น,เพศหญิง,44,นักจัดรายการวิทยุ,จังหวัดอุบลราชธานี,25375
พงษ์นเรศ พรรษาสกุล,เพศชาย,43,นักสืบ,จังหวัดกรุงเทพฯ,218
นางประจิน ถนัดอาวุธ,เพศหญิง,55,นักสิทธิมนุษยชน,จังหวัดตรัง,14472
อินทรีย์ ทวนทอง,เพศชาย,21,นักสะสมศิลปะ,จังหวัดบึงกาฬ,23355
ธมลพรรณ แก้วอยู่,เพศหญิง,22,นักประวัติศาสตร์,จังหวัดนครนายก,10546
นิวิลดาน พรสีมา,เพศหญิง,36,นักสัตววิทยา,จังหวัดพระนครศรีอยุธยา,7168
ศดิศ วุฑฒยากร,เพศชาย,23,ทนายความ,จังหวัดกำแพงเพชร,22402
โรสชา นิลสลัว,เพศหญิง,41,นักหนังสือพิมพ์,จังหวัดสงขลา,15047
พิมพ์ประภา ถนอมมนุษย์,เพศหญิง,32,ช่างทำผม,จังหวัดร้อยเอ็ด,5399
เนตรฤดี นฤภัย,เพศหญิง,24,นักบิน,จังหวัดชัยนาท,24758
รวิวาน ถนอมมนุษย์,เพศหญิง,32,ช่างทำผม,จังหวัดพะเยา,8770
ภัทราวุธ แก้วอยู่,เพศหญิง,25,นักการกุศล,จังหวัดพิจิตร,13699
เพชรมณี ทศโยธิน ณ พัทลุง,เพศหญิง,46,จ๊อกกี้,จังหวัดอุทัยธานี,15513
พัชรพร ดุษฎีวนิช,เพศชาย,47,นักออกแบบ,จังหวัดหนองคาย,25455
สุพัตร ทวีเดช,เพศหญิง,37,นักบวช,จังหวัดตาก,8170
อรุณี ศรีอุ่น,เพศหญิง,45,นักสังคมสงเคราะห์,จังหวัดกรุงเทพฯ,19570
วิชา ธนประทีป,เพศชาย,56,นักสังคมสงเคราะห์,จังหวัดนครพนม,17389
สุพัตรา ถนิมมาศ,เพศหญิง,23,นักสะสมศิลปะ,จังหวัดอุดรธานี,18323
เนตรฤดี หนักแน่น,เพศหญิง,57,นักโบราณคดี,จังหวัดนครราชสีมา,6329
บุญญกัลป์ งามพิเชษฐ์,เพศชาย,47,นักแสดง,จังหวัดนครราชสีมา,7570
ศรีสวัสดิ์ นิยมธรรม,เพศชาย,53,นักสังคมศาสตร์,จังหวัดอุตรดิตถ์,4621
สินสมุทร ทันยุค,เพศชาย,49,ข้าราชการ,จังหวัดนราธิวาส,2953
บุญเอก บุญญาภิรมย์,เพศชาย,41,ตำรวจ,จังหวัดกรุงเทพมหานคร,22293
สุภาลินี นุ่มกัน,เพศหญิง,26,นักหนังสือพิมพ์,จังหวัดพิจิตร,24530
มะลีวัลย์ นุชแนวนุ่ม,เพศหญิง,21,ตำรวจ,จังหวัดสุพรรณบุรี,4445
ศิริเกศ ตระกูลบุญ,เพศหญิง,46,นักสังคมวิทยา,จังหวัดยะลา,21871
นางอัญธิกา ดิศดใน,เพศหญิง,45,นายแบบ,จังหวัดกาฬสินธุ์,23740
เถลิงยศ ร่มธิติรัตน์,เพศชาย,37,นักพจนานุกรม,จังหวัดนนทบุรี,1705
แกมแพร ตะละภัฏ,เพศหญิง,44,นักวิจัย,จังหวัดกาญจนบุรี,845
รวิวาน นครเทพ,เพศหญิง,54,โปรแกรมเมอร์,จังหวัดภูเก็ต,25396
